2017-10-02 19:19:43 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:20:04 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:20:20 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:20:44 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:34:19 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create-drop, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:35:15 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create-drop, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:36:18 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=create-drop, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:37:15 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:36 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:44 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:44 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:44 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:44 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:45 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
2017-10-02 19:38:45 - Database properties: {hibernate.format_sql=false, hibernate.hbm2ddl.auto=update, hibernate.dialect=org.hibernate.dialect.MySQL5Dialect}
